"ID","一级服务线","二级服务线","场景","原智能体数量","原智能体名称","建议新智能体","相似度","优先级","收敛理由"
"proposal_17","系统运维管理","系统运维管理","系统运维类服务项目","7","人格-财智云总分类账知识库; 人格-新总账上线公司段检查; 人格-职场合同解析核对; 人格-费用陪练助手; 人格-财智云费用出题助手; 人格-会议纪要生成; 人格-税务知识库","系统运维管理-系统运维管理-统一智能体","23.7%","高","同属「系统运维管理-系统运维管理」服务线，共7个智能体，平均相似度24%，总调用1978次，建议合并以减少用户决策成本"
"proposal_5","投资估值核算（信托）","产品估值T+N（信托）","投资管理类服务项目","6","人格-估值核算百事通; 成都-财服-估值-合同要素提取; 人格-回购业务知识分享; 人格-家族信托对账通; 人格-非标一览通; 人格-信托数据智核","投资估值核算（信托）-产品估值T+N（信托）-统一智能体","13.9%","高","同属「投资估值核算（信托）-产品估值T+N（信托）」服务线，共6个智能体，平均相似度14%，总调用33863次，建议合并以减少用户决策成本"
"proposal_15","税务及发票管理","税金测算","税务类服务项目","6","成都-增值税-税率查询; 人格-养老险免税清单查询; 人格-智能合同多税种测算; 人格-增值税进项核对小工具; 人格-印花税查询; 人格-发票信息提取","税务及发票管理-税金测算-统一智能体","10.1%","高","同属「税务及发票管理-税金测算」服务线，共6个智能体，平均相似度10%，总调用2071次，建议合并以减少用户决策成本"
"proposal_2","系统运维管理","BRD需求管理","系统运维管理-BRD需求管理","5","人格-需求管理流程之测试参考用例输出; 人格-需求合规评估; 人格-系统迭代文案生成; 人格-需求初筛分类; 人格-需求要点分析","系统运维管理-BRD需求管理-统一智能体","19.5%","高","同属「系统运维管理-BRD需求管理」服务线，共5个智能体，平均相似度19%，总调用47712次，建议合并以减少用户决策成本"
"proposal_24","账套管理","创建凭证","财务类服务项目","5","人格-信托核算规则; 人格-账流明细校验; 平安健康子目信息查询; 人格-社保及税金智能识别; 银行流水智能识别工具","账套管理-创建凭证-统一智能体","4.7%","高","同属「账套管理-创建凭证」服务线，共5个智能体，平均相似度5%，总调用1365次，建议合并以减少用户决策成本"
"proposal_16","通用","通用","通用-通用","4","人格-智能出题; 人格-智能阅卷; 人格-风控-手册审核; 人格-风控-制度一致性对比","通用-通用-统一智能体","21.6%","高","同属「通用-通用」服务线，共4个智能体，平均相似度22%，总调用1287次，建议合并以减少用户决策成本"
"proposal_22","报表专项管理","报表专项管理","财务类服务项目","4","人格-利息测算助手; 人格-财务AI代码助手; 财务报告智能分析; 人格-现流表智能助手","报表专项管理-报表专项管理-统一智能体","12.6%","高","同属「报表专项管理-报表专项管理」服务线，共4个智能体，平均相似度13%，总调用1595次，建议合并以减少用户决策成本"
"proposal_14","账套管理/陆控机构集中","创建凭证/账套管理-创建凭证（陆控机构）","账套管理/陆控机构集中-创建凭证/账套管理-创建凭证（陆控机构）","2","人格-陆控业务大小类科目查询; 人格-陆控总账电子附件要求","账套管理/陆控机构集中-创建凭证/账套管理-创建凭证（陆控机构）-统一智能体","41.9%","高","同属「账套管理/陆控机构集中-创建凭证/账套管理-创建凭证（陆控机构）」服务线，共2个智能体，平均相似度42%，总调用2458次，建议合并以减少用户决策成本"
"proposal_21","工商业务支持（不动产）","工商业务支持（不动产）","工商业务支持（不动产）-工商业务支持（不动产）","2","人格-工商资料核对助手; 人格-工商知识问答","工商业务支持（不动产）-工商业务支持（不动产）-统一智能体","40.5%","高","同属「工商业务支持（不动产）-工商业务支持（不动产）」服务线，共2个智能体，平均相似度41%，总调用1306次，建议合并以减少用户决策成本"
"proposal_26","资金交易与确认","系统集中收付","系统运维类服务项目","2","人格-异常交易-大额审批; 人格-异常交易-资金交易拦截","资金交易与确认-系统集中收付-统一智能体","55.5%","高","同属「资金交易与确认-系统集中收付」服务线，共2个智能体，平均相似度56%，总调用111次，建议合并以减少用户决策成本"
"proposal_6","费用审核","费用审核-人工件","费用审核-费用审核-人工件","3","人格-购货方信息; 人格-考勤与休假咨询; 人格-财智云采集规则","费用审核-费用审核-人工件-统一智能体","26.0%","中","同属「费用审核-费用审核-人工件」服务线，共3个智能体，平均相似度26%，总调用10549次，建议合并以减少用户决策成本"
"proposal_10","投资估值核算（养老险）","产品估值T+N（养老险）","投资管理类服务项目","3","人格-养老险知识库; 人格-合肥估值养老险出题师; 人格-养老险知识库-成都","投资估值核算（养老险）-产品估值T+N（养老险）-统一智能体","30.7%","中","同属「投资估值核算（养老险）-产品估值T+N（养老险）」服务线，共3个智能体，平均相似度31%，总调用8776次，建议合并以减少用户决策成本"
"proposal_25","账套管理","账套附加","账套管理-账套附加","3","人格-不动产账套信息; 人格-不动产课题助手; 人格-一体化流程解答","账套管理-账套附加-统一智能体","6.8%","中","同属「账套管理-账套附加」服务线，共3个智能体，平均相似度7%，总调用1168次，建议合并以减少用户决策成本"
"proposal_8","投资估值核算（资管）","大帐估值核算（资管）","投资管理类服务项目","2","人格-金融估值陪练; 人格-资管智能问答","投资估值核算（资管）-大帐估值核算（资管）-统一智能体","32.5%","中","同属「投资估值核算（资管）-大帐估值核算（资管）」服务线，共2个智能体，平均相似度32%，总调用15585次，建议合并以减少用户决策成本"
"proposal_20","税务及发票管理","税金申报","税务及发票管理-税金申报","2","人格-风控-税务申报质检; 人格-风控-税务分配表智能核对","税务及发票管理-税金申报-统一智能体","29.8%","中","同属「税务及发票管理-税金申报」服务线，共2个智能体，平均相似度30%，总调用1073次，建议合并以减少用户决策成本"
"proposal_23","税务及发票管理","税务申报","税务类服务项目","2","人格-税局截屏检查; 人格-税务财务报表智能核对","税务及发票管理-税务申报-统一智能体","21.2%","低","同属「税务及发票管理-税务申报」服务线，共2个智能体，平均相似度21%，总调用1271次，建议合并以减少用户决策成本"
